"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Apples, raw, without skin, cooked, boiled","53","0.26","13.64","0.36"
"Applesauce, canned, sweetened, with salt","76","0.18","19.91","0.18"
"Applesauce, canned, sweetened, without salt","68","0.16","17.49","0.17"
"Applesauce, canned, unsweetened, with added ascorbic acid","42","0.17","11.27","0.1"
"Apricot nectar, canned, with added ascorbic acid","56","0.17","13.63","0.45"
"Apricot, canned","57","0.65","13.85","0.17"
"Apricot, dried","241","3.39","62.64","0.51"
"Apricot, raw","48","1.4","11.12","0.39"
"Apricots, canned, heavy syrup, drained","83","0.64","21.31","0.11"
"Apricots, canned, juice pack, with skin, solids and liquids","48","0.63","12.34","0.04"
"Apricots, canned, light syrup pack, with skin, solids and liquids","63","0.53","16.49","0.05"
"Apricots, canned, water pack, with skin, solids and liquids","27","0.71","6.39","0.16"
"Apricots, dehydrated (low-moisture), sulfured, stewed","126","1.93","32.62","0.24"
"Apricots, dehydrated (low-moisture), sulfured, uncooked","320","4.9","82.89","0.62"
"Apricots, dried, sulfured, stewed, with added sugar","113","1.17","29.26","0.15"
"Apricots, dried, sulfured, uncooked","241","3.39","62.64","0.51"
"Apricots, frozen, sweetened","98","0.7","25.1","0.1"
"Apricots, raw","48","1.4","11.12","0.39"
"ARBY'S, roast beef sandwich, classic","242","15.17","22.21","10.3"
"Archway Home Style Cookies, Chocolate Chip Ice Box","497","4.28","65.02","24.4"
"Archway Home Style Cookies, Coconut Macaroon","460","3.02","61.23","22.55"
"Archway Home Style Cookies, Date Filled Oatmeal","400","4.67","68.16","12.05"
"Archway Home Style Cookies, Dutch Cocoa","431","4.5","69.44","14.99"
"Archway Home Style Cookies, Frosty Lemon","430","4.41","64.78","17.11"
"Archway Home Style Cookies, Iced Oatmeal","435","4.89","66.76","16.53"
"Archway Home Style Cookies, Molasses","403","4.25","69.41","12.06"
"Archway Home Style Cookies, Oatmeal","421","5.48","68.17","14.08"
"Archway Home Style Cookies, Old Fashioned Molasses","406","4.27","70.55","11.83"
"Archway Home Style Cookies, Old Fashioned Windmill Cookies","468","5.17","72.23","17.55"
"Archway Home Style Cookies, Peanut Butter","480","9","58.48","24.28"
"Archway Home Style Cookies, Reduced Fat Ginger Snaps","424","4.67","76.23","11.14"
"Archway Home Style Cookies, Strawberry Filled","400","4.35","65.92","13.26"
"Archway Home Style Cookies, Sugar Free Oatmeal","442","5.54","67.2","20.92"
"Arepa Dominicana","267","5.66","30.47","14"
"Armadillo","159","28.08","0","4.34"
"Arrowhead, cooked, boiled, drained, with salt","78","4.49","16.14","0.1"
"Arrowhead, raw","99","5.33","20.23","0.29"
"Arrowroot flour","357","0.3","88.15","0.1"
"Arrowroot, raw","65","4.24","13.39","0.2"
"Artichoke","53","2.89","11.95","0.34"
"Artichoke dip","331","3.86","5.78","32.67"
"Artichokes, (globe or french), cooked, boiled, drained, with salt","51","2.89","11.39","0.34"
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt","45","3.11","9.18","0.5"
"Artichokes, (globe or french), frozen, unprepared","38","2.63","7.75","0.43"
"Artichokes, stuffed","160","5.33","22.28","5.94"
"Artificial Blueberry Muffin Mix, dry","407","4.7","77.45","8.7"
"Arugula, raw","25","2.58","3.65","0.66"
"Ascidians (tunughnak) (Alaska Native)","20","3.8","0","0.5"
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing","116","10.24","8.11","5.26"
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing","130","11.44","9.5","5.46"
"Asian stir fry vegetables, cooked, fat added","71","2.01","9.65","2.84"
"Asian stir fry vegetables, cooked, no added fat","50","2.07","9.93","0.3"
"Asparagus, canned, cooked, fat added, NS as to fat type","41","2.09","2.39","3.18"
"Asparagus, cooked, boiled, drained, with salt","22","2.4","4.11","0.22"
"Asparagus, fresh, cooked, fat added, NS as to fat type","45","2.3","4.04","2.86"
"Asparagus, frozen, cooked, boiled, drained, with salt","18","2.95","1.92","0.42"
"Atole","86","1.69","16.28","1.54"
"Atole de avena","83","1.74","15.46","1.58"
"Atole de chocolate","103","1.8","20.3","1.78"
"Avocado dressing","427","1.9","7.36","43.33"
"Avocado, raw","160","2","8.53","14.66"
"Avocados, raw, all commercial varieties","160","2","8.53","14.66"
"Avocados, raw, Florida","120","2.23","7.82","10.06"
"Baby Toddler apples, Stage 1","41","0.2","10.8","0.2"
"Baby Toddler bananas, Stage 1","91","1","21.34","0.2"
"Baby Toddler bar","344","5.43","68.63","5.3"
"Baby Toddler beef","81","12.03","2.43","2.52"
"Baby Toddler beets","34","1.3","7.7","0.1"
"Baby Toddler biscuit","395","11.37","80.53","2.97"
"Baby Toddler carrots, Stage 1","26","0.8","6","0.1"
"Baby Toddler carrots, Stage 2","32","0.8","7.2","0.2"
"Baby Toddler cereal, barley, dry","376","13.2","69.4","6.6"
"Baby Toddler cereal, multigrain with fruit, dry","404","6.53","80.47","6.43"
"Baby Toddler cereal, multigrain with fruit, ready-to-eat","88","1.46","19.24","0.68"
"Baby Toddler cereal, multigrain, ready-to-eat","75","1.87","15","0.89"
"Baby Toddler cereal, oatmeal with fruit, dry","392","10.64","74.22","6.13"
"Baby Toddler cereal, oatmeal, ready-to-eat","76","2.54","13.77","1.3"
"Baby Toddler cereal, rice with fruit, dry","388","6.51","83.4","2.17"
"Baby Toddler cereal, rice, ready-to-eat","73","1.38","16.09","0.3"
"Baby Toddler chicken","130","13.7","0.1","7.9"
"Baby Toddler cookie","420","9.88","69.79","11.24"
"Baby Toddler crackers","391","12.5","83.21","0.87"
"Baby Toddler crunchies","462","3.2","69.14","19.24"
"Baby Toddler food, NFS","75","4.9","9.08","2.15"
"Baby Toddler fruit and meat","82","2.26","16.44","0.99"
"Baby Toddler fruit and vegetables, Stage 2","59","0.98","13.69","0.23"
"Baby Toddler fruit and vegetables, with grain","69","1.48","15.31","0.48"
"Baby Toddler fruit and vegetables, with yogurt","69","2.1","11.29","1.84"
"Baby Toddler fruit, NFS","68","0.68","16.44","0.21"
"Baby Toddler fruit, vegetables, and meat","75","2.63","14.14","1.06"
"Baby Toddler fruit, with grain","78","1.07","17.96","0.41"
"Baby Toddler green beans, Stage 1","24","1.2","5.8","0.1"
"Baby Toddler ham","97","11.3","3.7","3.8"
"Baby Toddler juice, apple","47","0","11.7","0.1"
"Baby Toddler juice, fruit and yogurt blend","69","1.56","12.7","1.48"
