"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Biscuits, plain or buttermilk, refrigerated dough, higher fat","307","6.66","46.32","10.58"
"Biscuits, plain or buttermilk, refrigerated dough, lower fat","270","6.7","43.7","7.83"
"Biscuits, plain or buttermilk, refrigerated dough, lower fat, baked","319","7.8","51.6","9.1"
"Bison, ground, grass-fed, cooked","179","25.45","0","8.62"
"Bison, ground, grass-fed, raw","146","20.23","0.05","7.21"
"Bitter melon, cooked","41","0.82","4.19","2.72"
"Bitter melon, horseradish, jute, or radish leaves, cooked","56","3.49","6.47","2.74"
"Black bean salad","94","3.08","12.61","3.85"
"Black bean sauce","168","6.28","17.36","8.45"
"Black beans and brown rice","158","5.91","23.52","4.65"
"Black beans and rice, from fast food / restaurant","182","5.82","23.66","7.09"
"Black beans and white rice","160","6.01","24.42","4.32"
"Black beans with meat","177","10.61","19.06","6.81"
"Black beans, from canned, fat added","178","8.54","23.43","5.92"
"Black beans, from canned, no added fat","134","8.87","24.34","0.43"
"Black beans, from dried, fat added","181","8.23","22.04","7.01"
"Black beans, from fast food / restaurant","200","7.98","21.36","9.49"
"Black Russian","279","0.04","21.21","0.14"
"Blackberries, canned, heavy syrup, solids and liquids","92","1.31","23.1","0.14"
"Blackberries, frozen, unsweetened","64","1.18","15.67","0.43"
"Blackberries, raw","43","1.39","9.61","0.49"
"Blackberry juice, canned","38","0.3","7.8","0.6"
"Blackeyed peas, from canned","150","8.19","22.9","3.17"
"Blackeyed peas, from dried","166","7.18","19.29","7"
"Blood sausage","379","14.6","1.29","34.5"
"Bloody Mary","73","0.67","3.8","0.23"
"Bluberries, canned","88","1.04","22.66","0.4"
"Blue or roquefort cheese dressing","484","1.37","4.77","51.1"
"Blue or roquefort cheese dressing, fat free","115","1.52","25.6","1.01"
"Blue or roquefort cheese dressing, light","300","1.44","15.18","26.06"
"Blueberries, canned, light syrup, drained","88","1.04","22.66","0.4"
"Blueberries, dried, sweetened","317","2.5","80","2.5"
"Blueberries, raw","57","0.74","14.49","0.33"
"Blueberries, wild, canned, heavy syrup, drained","107","0.56","28.32","0.34"
"Blueberries, wild, frozen (Alaska Native)","44","0.7","10.4","0"
"Blueberries, wild, raw (Alaska Native)","61","1.22","12.31","0.76"
"Blueberry juice","42","0.46","9.47","0.2"
"Blueberry pie filling","181","0.41","44.38","0.2"
"Blueberry syrup","341","0","85.13","0"
"Bockwurst, pork, veal, raw","301","14.03","2.95","25.87"
"Bologna sandwich on wheat","272","10.89","26.54","13.53"
"Bologna sandwich on wheat, with cheese","285","12.34","23.24","15.82"
"Bologna sandwich on white","274","9.87","28.49","13.33"
"Bologna sandwich on white, with cheese","287","11.48","24.9","15.65"
"Bologna, beef","299","10.91","4.29","26.13"
"Bologna, beef and pork","308","15.2","5.49","24.59"
"Bologna, beef and pork, low fat","230","11.5","2.6","19.3"
"Bologna, beef, low fat","204","11.8","5.2","14.8"
"Bologna, chicken, pork","336","10.31","4.19","30.61"
"Bologna, chicken, pork, beef","272","11.33","5.61","22.73"
"Bologna, chicken, turkey, pork","298","9.88","5.65","26.18"
"Bologna, meat and poultry","281","10.34","6.31","23.77"
"Bologna, pork","247","15.3","0.73","19.87"
"Bologna, pork and turkey, lite","211","13.06","3.45","16.06"
"Bologna, pork, turkey and beef","336","11.56","6.66","29.25"
"Bologna, turkey","209","11.42","4.68","16.05"
"Borage, cooked, boiled, drained, with salt","25","2.09","3.55","0.81"
"Boysenberries, canned, heavy syrup","88","0.99","22.31","0.12"
"Boysenberries, frozen, unsweetened","50","1.1","12.19","0.26"
"Brains","150","11.58","1.47","10.45"
"Brandy","231","0","0","0"
"Brandy Alexander","238","1.05","18.94","3.83"
"Brandy and cola","89","0","7.8","0.19"
"Bratwurst, beef and pork, smoked","297","12.2","2","26.34"
"Bratwurst, chicken, cooked","176","19.44","0","10.35"
"Bratwurst, pork, beef and turkey, lite, smoked","186","14.45","1.62","13.53"
"Bratwurst, pork, beef, link","323","14.3","2.98","27.8"
"Bratwurst, pork, cooked","333","13.72","2.85","29.18"
"Bratwurst, veal, cooked","341","13.99","0","31.7"
"Braunschweiger (a liver sausage), pork","327","14.5","3.1","28.5"
"Brazil nuts","659","14.32","11.74","67.1"
"Bread stuffing","177","3.14","21.71","8.51"
"Bread stuffing made with egg","192","3.31","17.77","11.92"
"Bread, banana, prepared from recipe, made with margarine","326","4.3","54.6","10.5"
"Bread, barley, toasted","301","11.72","52.24","4.98"
"Bread, blue corn, somiviki (Hopi)","186","3.1","39.84","1.53"
"Bread, boston brown, canned","195","5.2","43.3","1.5"
"Bread, chapati or roti, plain, commercially prepared","297","11.25","46.36","7.45"
"Bread, chapati or roti, whole wheat, commercially prepared, frozen","299","7.85","46.13","9.2"
"Bread, cheese","408","10.42","44.83","20.83"
"Bread, cheese, toasted","448","11.45","49.26","22.89"
"Bread, cinnamon","253","7.05","44.38","5.29"
"Bread, cinnamon, toasted","293","10.36","54.07","3.94"
"Bread, cornbread, dry mix, enriched (includes corn muffin mix)","418","7","69.5","12.2"
"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs","330","6.59","54.46","9.58"
"Bread, cornbread, prepared from recipe, made with low fat (2%) milk","266","6.7","43.5","7.1"
"Bread, cornmeal and molasses","285","7.91","55.25","3.82"
"Bread, cornmeal and molasses, toasted","313","8.69","60.72","4.2"
"Bread, cracked-wheat","260","8.7","49.5","3.9"
"Bread, crumbs, dry, grated, plain","395","13.35","71.98","5.3"
"Bread, crumbs, dry, grated, seasoned","383","14.13","68.49","5.48"
"Bread, Cuban, toasted","299","11.81","57.01","2.66"
"Bread, dough, fried","384","9.36","44.97","18.84"
"Bread, egg","287","9.5","47.8","6"
"Bread, egg, toasted","315","10.5","52.6","6.6"
"Bread, french or vienna (includes sourdough)","272","10.75","51.88","2.42"
"Bread, french or vienna, toasted (includes sourdough)","319","13","61.93","2.14"
"Bread, french or vienna, whole wheat","239","8.33","49.1","1.04"
"Bread, French or Vienna, whole wheat, toasted","263","9.15","53.96","1.14"
"Bread, fruit","374","6.01","47.34","18.1"
"Bread, gluten free, toasted","273","4.74","50.31","5.76"
"Bread, gluten-free, white, made with potato extract, rice starch, and rice flour","320","3.13","52.83","10.7"
"Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca","248","4.31","45.78","5.24"
"Bread, gluten-free, white, made with tapioca starch and brown rice flour","298","5.4","51.15","8.02"
"Bread, gluten-free, whole grain, made with tapioca starch and brown rice flour","309","7.25","49.09","9.34"
"Bread, Irish soda","301","6.48","51.07","8.96"
"Bread, irish soda, prepared from recipe","290","6.6","56","5"
"Bread, kneel down (Navajo)","195","4.29","39.47","2.21"
"Bread, lard, toasted, Puerto Rican style","314","8.14","62.34","3.62"
"Bread, multi-grain, toasted (includes whole-grain)","288","14.52","47.11","4.6"
"Bread, multigrain, reduced calorie and/or high fiber, toasted","228","9.79","49.35","2.8"
"Bread, multigrain, with raisins, toasted","295","13.58","51.58","4.21"
"Bread, naan","311","11.09","50.23","7.28"
"Bread, naan, plain, commercially prepared, refrigerated","291","9.62","50.43","5.65"
"Bread, naan, whole wheat, commercially prepared, refrigerated","286","10.2","46.21","6.7"
"Bread, nut","403","6.59","49.66","20.1"
"Bread, oat bran","236","10.4","39.8","4.4"
"Bread, oat bran, toasted","259","11.4","43.7","4.8"
"Bread, pan dulce, sweet yeast bread","367","9.42","56.38","11.58"
"Bread, paratha, whole wheat, commercially prepared, frozen","326","6.36","45.35","13.2"
"Bread, pita with fruit","279","8.16","59.51","1.05"
"Bread, pita, white, enriched","275","9.1","55.7","1.2"
"Bread, potato","266","12.5","47.07","3.13"
"Bread, pound cake type, pan de torta salvadoran","390","7.06","51.29","17.45"
"Bread, protein (includes gluten)","245","12.1","43.8","2.2"
"Bread, protein, (includes gluten), toasted","270","13.2","48.1","2.4"
"Bread, pumpkin","305","4.97","43.21","12.93"
"Bread, puri","409","6.84","39.23","24.94"
"Bread, raisin, enriched","274","7.9","52.3","4.4"
"Bread, raisin, enriched, toasted","297","8.6","56.9","4.8"
"Bread, raisin, toasted","297","9.69","57.38","3.58"
"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts","222","7.83","49.95","2.14"
"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted","244","8.6","54.89","2.35"
"Bread, reduced-calorie, oat bran","201","8","41.3","3.2"
"Bread, reduced-calorie, oatmeal","210","7.6","43.3","3.5"
"Bread, reduced-calorie, rye","203","9.1","40.5","2.9"
"Bread, reduced-calorie, wheat","217","13.32","42.47","2.92"
"Bread, reduced-calorie, white","207","8.7","44.3","2.5"
"Bread, rice bran","243","8.9","43.5","4.6"
"Bread, rice bran, toasted","264","9.7","47.3","5"
"Bread, roll, Mexican, bollilo","318","10.65","55.77","5.8"
"Bread, rye, toasted","284","9.4","53.1","3.6"
"Bread, salvadoran sweet cheese (quesadilla salvadorena)","374","7.12","47.84","17.12"
"Bread, soy","267","16.4","41.95","3.84"
"Bread, soy, toasted","293","18.02","46.1","4.22"
"Bread, Spanish coffee","348","7.93","58.84","9.06"
"Bread, sticks, plain","412","12","68.4","9.5"
"Bread, stuffing, cornbread, dry mix","389","10","76.7","4.2"
"Bread, stuffing, cornbread, dry mix, prepared","179","2.9","21.9","8.8"
"Bread, stuffing, dry mix, prepared","195","2.73","18.84","12.05"
"Bread, sunflower meal","306","11.16","47.98","8.23"
"Bread, sunflower meal, toasted","336","12.26","52.73","9.05"
"Bread, wheat or cracked wheat, with raisins","292","8.66","57.73","3.72"
"Bread, wheat or cracked wheat, with raisins, toasted","321","9.51","63.44","4.08"
"Bread, wheat, sprouted","188","13.16","33.88","0"
"Bread, wheat, sprouted, toasted","205","14.3","36.82","0"
"Bread, wheat, toasted","313","12.96","55.77","4.27"
"Bread, white wheat","238","10.66","43.91","2.15"
"Bread, white with whole wheat swirl","260","10.86","46.15","3.57"
"Bread, white with whole wheat swirl, toasted","301","12.45","53.39","4.12"
"Bread, white, commercially prepared","270","9.43","49.2","3.59"
"Bread, white, commercially prepared, toasted, low sodium no salt","293","9","54.4","4"
"Bread, white, made from home recipe or purchased at a bakery, toasted","299","11.14","55.23","3.78"
"Bread, white, prepared from recipe, made with low fat (2%) milk","285","7.9","49.6","5.7"
"Bread, white, prepared from recipe, made with nonfat dry milk","274","7.7","53.6","2.6"
"Bread, white, special formula, added fiber, toasted","262","11.71","48.25","2.36"
"Bread, whole wheat","254","12.3","43.1","3.55"
"Bread, whole wheat, with raisins, toasted","319","9.48","61.92","4.55"
"Bread, whole-wheat, commercially prepared","254","12.3","43.1","3.55"
"Bread, whole-wheat, commercially prepared, toasted","306","16.27","51.16","4.07"
"Bread, whole-wheat, prepared from recipe, toasted","305","9.2","56.4","5.9"
"Breadfruit, cooked","123","1.04","26.26","2.77"
"Breadfruit, raw","103","1.07","27.12","0.23"
"Breading or batter as ingredient in food","201","6.56","40.08","1.63"
"Breadsticks, hard, gluten free","453","11.25","66.3","15.84"
"Breadsticks, hard, NFS","412","12","68.4","9.5"
"Breadsticks, hard, reduced sodium","434","12.01","72.23","10.86"
"Breadsticks, hard, whole wheat","425","15.08","67.9","10.98"
"Breadsticks, NFS","342","12.18","44.39","12.85"
"Breadsticks, soft, frozen","313","11.09","46.37","9.16"
"Breadsticks, soft, stuffed or topped with melted cheese","333","14.48","36.41","14.36"
"Breakfast bar, corn flake crust with fruit","376","4.4","72.8","7.5"
"Breakfast bar, date, with yogurt coating","348","3.7","70.9","7.3"
"Breakfast bars, oats, sugar, raisins, coconut (include granola bar)","464","9.8","66.7","17.6"
"Breakfast link, pattie, or slice, meatless","255","20.28","8.09","18.16"
"Breakfast meat as ingredient in omelet","252","20.81","1.61","17.87"
"Breakfast pastry, NFS","371","5.4","47.8","18.5"
"Breakfast pizza with egg","292","14.02","25.63","14.5"
"Breakfast tart","385","4.01","71.83","9.02"
"Breakfast tart, lowfat","372","3.99","76.8","5.99"
"Brioche","427","8.96","36.31","27.46"
"Broadbeans (fava beans), mature seeds, canned","71","5.47","12.41","0.22"
"Broadbeans (fava beans), mature seeds, cooked, boiled, with salt","110","7.6","19.65","0.4"
"Broadbeans (fava beans), mature seeds, raw","341","26.12","58.29","1.53"
"Broadbeans, immature seeds, cooked, boiled, drained, with salt","62","4.8","10.1","0.5"
"Broadbeans, immature seeds, raw","72","5.6","11.7","0.6"
"Broccoflower, cooked","55","2.98","6.15","2.96"
"Broccoflower, raw","31","2.95","6.09","0.3"
"Broccoli and cauliflower, cooked, fat added","46","2.29","4.41","2.71"
"Broccoli and cauliflower, cooked, no added fat","23","2.35","4.54","0.17"
"Broccoli casserole with noodles","112","3.55","15.86","3.77"
"Broccoli casserole with rice","107","4.14","15.06","3.6"
"Broccoli raab, cooked","25","3.83","3.12","0.52"
"Broccoli raab, cooked","46","3.2","2.88","3.15"
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing","270","5.83","10.38","22.82"
"Broccoli slaw salad","123","1.97","10.41","8.11"
"Broccoli, chinese, cooked","22","1.14","3.81","0.72"
"Broccoli, cooked, boiled, drained, with salt","35","2.38","7.18","0.41"
"Broccoli, cooked, from restaurant","77","2.55","6.2","4.66"
"Broccoli, fresh, cooked, fat added, NS as to fat type","63","2.6","6.33","3"
"Broccoli, frozen, chopped, cooked, boiled, drained, with salt","28","3.1","5.35","0.12"
"Broccoli, frozen, cooked, fat added, NS as to fat type","50","3.01","5.18","2.66"
"Bruschetta","171","4.29","21.32","7.61"
"Brussels sprouts, cooked, boiled, drained, with salt","36","2.55","7.1","0.5"
"Brussels sprouts, fresh, cooked, fat added","67","3.42","9.03","2.96"
"Brussels sprouts, frozen, cooked, boiled, drained, with salt","42","3.64","8.32","0.39"
"Buckwheat","343","13.25","71.5","3.4"
"Buckwheat flour, whole-groat","335","12.62","70.59","3.1"
"Buckwheat groats","118","3.24","18.99","3.97"
"Buckwheat groats, roasted, cooked","92","3.38","19.94","0.62"
"Buckwheat groats, roasted, dry","346","11.73","74.95","2.71"
"Buffalo sauce","11","1.21","0.75","0.71"
"Buffalo, free range, top round steak, cooked (Shoshone Bannock)","146","32.51","0","1.8"
"Buffalo, free range, top round steak, raw (Shoshone Bannock)","97","21.44","0","1.3"
"Bulgur, cooked","83","3.08","18.58","0.24"
"Bulgur, dry","342","12.29","75.87","1.33"
"Bulgur, fat added","121","2.9","17.31","5.07"
"Burdock root, cooked, boiled, drained, with salt","88","2.09","21.15","0.14"
"Burdock root, raw","72","1.53","17.34","0.15"
"Burdock, cooked","100","1.6","18.06","2.89"
"BURGER KING, Cheeseburger","286","14.57","23.71","14.81"
"BURGER KING, Chicken Strips","292","18.2","20.49","15.25"
"BURGER KING, CROISSAN'WICH with Egg and Cheese","283","10.35","24.79","15.78"
"BURGER KING, CROISSAN'WICH with Sausage and Cheese","376","13.73","23","25.45"
"BURGER KING, CROISSAN'WICH with Sausage, Egg and Cheese","308","12.09","15.9","21.78"
"BURGER KING, Double Cheeseburger","282","16.83","17.43","16.13"
"BURGER KING, DOUBLE WHOPPER, no cheese","252","13.94","13.74","15.66"
"BURGER KING, DOUBLE WHOPPER, with cheese","266","14.47","13.52","17.06"
"BURGER KING, french fries","280","3.23","38.7","12.48"
"BURGER KING, french toast sticks","349","6","41.21","17.74"
"BURGER KING, Hamburger","261","14.85","26.76","10.55"
"BURGER KING, Hash Brown Rounds","302","2.8","29.37","19.3"
"BURGER KING, Onion Rings","417","3.86","43.58","25.23"
"BURGER KING, Original Chicken Sandwich","286","12.14","26.22","14.69"
"BURGER KING, Premium Fish Sandwich","260","10.29","26.69","12.45"
"BURGER KING, Vanilla Shake","168","3.19","19.03","8.74"
"BURGER KING, WHOPPER, no cheese","233","10.74","18.55","12.84"
"BURGER KING, WHOPPER, with cheese","250","11.19","16.7","15.33"
"Burrito bowl, beef or pork","213","19.97","0.27","14.21"
"Burrito bowl, beef or pork, with beans","161","13.06","6.94","8.91"
"Burrito bowl, beef or pork, with beans and rice","171","12.49","10.58","8.48"
"Burrito bowl, beef or pork, with rice","181","11.92","14.21","8.05"
"Burrito bowl, chicken","161","21.04","0.27","8.11"
"Burrito bowl, chicken, with beans","135","13.6","6.94","5.87"
"Burrito bowl, chicken, with beans and rice","145","13.03","10.58","5.44"
"Burrito bowl, chicken, with rice","155","12.46","14.21","5"
"Burrito bowl, with beans","129","8.04","17.3","3.42"
"Burrito, bean and cheese, frozen","221","7.07","34.01","6.3"
"Burrito, beef and bean, frozen","239","7.26","30.84","9.61"
"Burrito, beef and bean, microwaved","298","8.73","38.95","11.94"
"Burrito, beef, cheese","267","13.28","28.33","10.68"
"Burrito, beef, with beans and rice, cheese","225","10.78","26.05","8.29"
"Burrito, beef, with beans, cheese","219","11.12","23.87","8.54"
"Burrito, beef, with rice, cheese","231","10.44","28.24","8.03"
"Burrito, cheese only","328","13.69","30.59","16.53"
"Burrito, chicken, cheese","244","13.74","28.33","8.06"
"Burrito, chicken, with beans and rice, cheese","209","11.1","26.05","6.45"
"Burrito, chicken, with beans, cheese","203","11.45","23.87","6.71"
"Burrito, chicken, with rice, cheese","215","10.76","28.24","6.2"
"Burrito, meat, no cheese","262","12.85","29.63","9.75"
"Burrito, meat, with beans, no cheese","211","10.56","24.99","7.45"
"Burrito, meat, with rice, no cheese","224","9.84","29.59","6.91"
"Burrito, with beans and rice, cheese","202","6.89","32.2","4.87"
"Burrito, with beans, cheese","196","8.1","29.49","5.16"
"Burrito, with beans, no cheese","188","7.41","30.84","3.95"
"Butter oil, anhydrous","876","0.28","0","99.48"
"Butter replacement, liquid","533","0.17","0.86","59.81"
"Butter replacement, without fat, powder","373","2","89","1"
"Butter, Clarified butter (ghee)","900","0","0","100"
"Butter, light, stick, with salt","499","3.3","0","55.1"
"Butter, NFS","743","0.85","0.06","82.2"
"Butter, whipped, with salt","731","0.49","0","78.3"
"Butter, without salt","717","0.85","0.06","81.11"
"Butterbur, (fuki), raw","14","0.39","3.61","0.04"
"Butterbur, canned","3","0.11","0.38","0.13"
"Butterbur, cooked, boiled, drained, with salt","8","0.23","2.16","0.02"
"Buttermilk","43","3.46","4.81","1.08"
"Cabbage salad, NFS","45","0.79","8.93","0.8"
"Cabbage with ham hocks","75","7.75","4.9","2.58"
"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt","12","1.56","1.78","0.16"
"Cabbage, Chinese, cooked, fat added","37","1.52","2.2","2.85"
"Cabbage, common, cooked, boiled, drained, with salt","23","1.27","5.51","0.06"
"Cabbage, green, cooked, fat added, NS as to fat type","55","0.98","6.44","2.88"
"Cabbage, green, cooked, no added fat","32","1","6.63","0.24"
"Cabbage, green, pickled","46","0.8","10.15","0.21"
"Cactus, cooked, fat added","38","1.29","3.23","2.63"
"Cactus, cooked, no added fat","16","1.32","3.32","0.09"
"Caesar dressing","542","2.17","3.3","57.85"
"Caesar dressing, fat free","131","1.47","30.73","0.23"
"Caesar dressing, light","110","0.3","18.6","4.4"
"Caesar salad, with romaine, no dressing","77","4","7.49","3.41"
"Cake made with glutinous rice","279","2.49","53.57","6.51"
"Cake made with glutinous rice and dried beans","185","7.76","36.09","0.6"
"Cake or cupcake, apple","376","2.41","52.52","17.5"
"Cake or cupcake, Black Forest","228","3.49","31.32","10.66"
"Cake or cupcake, chocolate with chocolate icing, bakery","345","3.29","52.25","15.2"
"Cake or cupcake, chocolate with white icing, bakery","355","2.79","54.36","14.58"
"Cake or cupcake, chocolate, no icing","303","5.08","43.28","13.24"
"Cake or cupcake, coconut","368","2.5","54.52","15.68"
"Cake or cupcake, German chocolate","360","3.7","49.94","17.6"
"Cake or cupcake, gingerbread","276","3.64","45.34","9.16"
"Cake or cupcake, gluten free","410","4.87","37.93","29.42"
"Cake or cupcake, lemon","339","2.42","51.9","13.53"
"Cake or cupcake, peanut butter","382","6.12","47.52","19.85"
"Cake or cupcake, spice","410","2.66","56.41","19.43"
"Cake or cupcake, strawberry","326","2.22","50.25","12.89"
"Cake or cupcake, white, no icing","310","4.36","44.36","12.78"
"Cake, angelfood, dry mix, prepared","257","6.1","58.7","0.3"
"Cake, boston cream pie, commercially prepared","252","2.4","42.9","8.5"
"Cake, cheesecake, commercially prepared","321","5.5","25.5","22.5"
"Cake, cheesecake, prepared from mix, no-bake type","274","5.5","35.5","12.7"
"Cake, cherry fudge with chocolate frosting","264","2.4","38","12.5"
"Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery","389","3.48","52.84","20.05"
"Cake, chocolate, flourless","410","4.87","37.93","29.42"
"Cake, chocolate, prepared from recipe without frosting","371","5.3","53.4","15.1"
"Cake, coffeecake, cheese","339","7","44.3","15.2"
"Cake, coffeecake, cinnamon with crumb topping, commercially prepared, enriched","418","6.8","46.7","23.3"
"Cake, coffeecake, cinnamon with crumb topping, dry mix, prepared","318","5.5","52.8","9.6"
"Cake, coffeecake, creme-filled with chocolate frosting","331","5","53.8","10.8"
"Cake, coffeecake, fruit","311","5.2","51.5","10.2"
"Cake, cream","286","3.84","30.02","17.03"
"Cake, fruitcake, commercially prepared","324","2.9","61.6","9.1"
"Cake, gingerbread, dry mix","437","4.4","74.6","13.8"
"Cake, gingerbread, prepared from recipe","356","3.9","49.2","16.4"
"Cake, jelly roll","285","3.14","64.54","1.52"
"Cake, pineapple upside-down, prepared from recipe","319","3.5","50.5","12.1"
"Cake, pineapple, upside down","273","2.38","39.11","12.18"
"Cake, pound, Bimbo Bakeries USA, Panque Casero, home baked style","418","6.62","48.94","21.7"
"Cake, pound, commercially prepared, butter (includes fresh and frozen)","353","5","53.64","13.96"
"Cake, pound, commercially prepared, fat-free","283","5.4","61","1.2"
"Cake, pound, commercially prepared, other than all butter, enriched","389","5.2","52.5","17.9"
"Cake, pudding-type, carrot, dry mix","415","5.1","79.2","9.8"
"Cake, pudding-type, chocolate, dry mix","391","4.6","80.16","8.14"
"Cake, pudding-type, white, enriched, dry mix","423","3.9","80.9","9.5"
"Cake, shortcake, biscuit-type, prepared from recipe","346","6.1","48.5","14.2"
"Cake, snack cakes, creme-filled, chocolate with frosting","399","3.63","60.31","15.93"
"Cake, snack cakes, creme-filled, chocolate with frosting, low-fat, with added fiber","409","3.71","69.37","13"
"Cake, snack cakes, creme-filled, sponge","374","3.47","64.03","11.54"
"Cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber","412","3.71","74.3","11.14"
"Cake, sponge, commercially prepared","290","5.4","61","2.7"
"Cake, sponge, prepared from recipe","297","7.3","57.7","4.3"
"Cake, strawberry shortcake","214","3.31","40.09","4.73"
"Cake, torte","241","3.28","33.86","10.36"
"Cake, tres leche","270","6.39","42","8.67"
"Cake, white, dry mix, special dietary (includes lemon-flavored)","397","3","79.6","8.4"
"Cake, white, prepared from recipe with coconut frosting","356","4.4","63.2","10.3"
"Cake, white, prepared from recipe without frosting","357","5.4","57.2","12.4"
"Cake, yellow, commercially prepared, with vanilla frosting","391","2.99","56.2","17.91"
"Cake, yellow, enriched, dry mix","374","3.7","81.92","3.5"
"Cake, yellow, light, dry mix","404","4.7","84.1","5.5"
"Cake, yellow, unenriched, dry mix","432","4.4","78.1","11.6"
"Calamari, cooked","155","19.36","3.83","6.25"
"Calamari, fried","234","13.76","14.06","13.22"
"Calzone, with cheese, meatless","389","17.59","29.49","22.51"
"Calzone, with meat and cheese","343","14.84","31.31","17.69"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup","47","3.41","5.41","1.3"
"CAMPBELL'S CHUNKY, Hearty Beef Barley Soup","56","2.89","8.98","0.92"
"CAMPBELL'S CHUNKY, New England Clam Chowder","81","2.46","9.01","3.85"
"CAMPBELL'S, Chicken Noodle Soup, condensed","47","2.37","5.97","1.53"
"CAMPBELL'S, Cream of Mushroom Soup, condensed","81","1.29","6.59","5.5"
"CAMPBELL'S, Tomato Soup, condensed","71","1.46","15.22","0.44"
"Canada Goose, breast meat only, skinless, raw","133","24.31","0","4.02"
"Canadian bacon, cooked, pan-fried","146","28.31","1.8","2.78"
"Canadian bacon, unprepared","110","20.31","1.34","2.62"
"Candied fruit","322","0.34","82.74","0.07"
"Candies, 5TH AVENUE Candy Bar","482","8.78","62.68","23.98"
"Candies, ALMOND JOY Candy Bar","479","4.13","59.51","26.93"
"Candies, butterscotch","391","0.03","90.4","3.3"
"Candies, CARAMELLO Candy Bar","462","6.19","63.81","21.19"
"Candies, caramels","382","4.6","77","8.1"
"Candies, caramels, chocolate-flavor roll","387","1.59","87.73","3.31"
"Candies, carob, unsweetened","540","8.15","56.29","31.36"
"Candies, chocolate covered, caramel with nuts","470","9.5","60.67","21"
"Candies, chocolate covered, low sugar or low calorie","590","12.39","37.68","43.27"
"Candies, coconut bar, not chocolate covered","481","2.13","55.87","27.65"
"Candies, confectioner's coating, butterscotch","539","2.2","67.1","29.05"
"Candies, confectioner's coating, peanut butter","529","18.3","46.88","29.8"
"Candies, confectioner's coating, yogurt","522","5.87","63.94","27"
"Candies, crispy bar with peanut butter filling","542","9.53","55.53","31.34"
"Candies, dark chocolate coated coffee beans","540","7.5","59.95","30"
"Candies, divinity, prepared-from-recipe","364","1.32","89.05","0.06"
"Candies, fondant, prepared-from-recipe","373","0","93.18","0.02"
"Candies, fruit snacks, with high vitamin C","352","0.08","87.97","0"
"Candies, fudge, chocolate marshmallow, prepared-from-recipe","453","2.26","71.34","17.48"
"Candies, fudge, chocolate marshmallow, with nuts, prepared-by-recipe","474","3.24","67.69","21.11"
"Candies, fudge, chocolate, prepared-from-recipe","410","2.39","76.7","10.41"
"Candies, fudge, chocolate, with nuts, prepared-from-recipe","460","4.38","68.15","18.93"
"Candies, fudge, peanut butter, prepared-from-recipe","387","3.78","77.75","6.59"
"Candies, fudge, vanilla with nuts","435","3","74.61","13.69"
"Candies, fudge, vanilla, prepared-from-recipe","383","1.05","82.15","5.45"
"Candies, gumdrops, starch jelly pieces","396","0","98.9","0"
"Candies, halavah, plain","469","12.49","60.49","21.52"
"Candies, HEATH BITES","530","3.94","63.39","30.38"
"Candies, HERSHEY'S GOLDEN ALMOND SOLITAIRES","569","11.97","46.85","37.13"
"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES","568","9.76","51.72","35.73"
"Candies, HERSHEY'S POT OF GOLD Almond Bar","577","12.82","44.89","38.46"
"Candies, HERSHEY'S, ALMOND JOY BITES","563","5.58","57.54","34.5"
"Candies, HERSHEYS, PAYDAY Bar","490","13.44","52.88","25"
"Candies, honey-combed, with peanut butter","473","8.72","67.41","20.18"
"Candies, KIT KAT Wafer Bar","518","6.51","64.59","25.99"
"Candies, M&M MARS 3 MUSKETEERS Truffle Crisp","538","6.41","63.15","28.85"
"Candies, M&M MARS Pretzel Chocolate Candies","447","5","72.94","15"
"Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar","436","2.6","77.77","12.75"
"Candies, MARS SNACKFOOD US, COCOAVIA Chocolate Covered Almonds","573","9.51","50.22","37.07"
"Candies, MARS SNACKFOOD US, COCOAVIA Crispy Chocolate Bar","517","8.21","62.06","26.23"
"Candies, MARS SNACKFOOD US, DOVE Dark Chocolate","520","5.19","59.4","32.45"
"Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies","522","7.53","60.5","27.76"
"Candies, MARS SNACKFOOD US, M&M's Crispy Chocolate Candies","475","4.28","72.4","19.32"
"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies","492","4.33","71.19","21.13"
"Candies, MARS SNACKFOOD US, M&M's MINIs Milk Chocolate Candies","502","4.78","68.4","23.36"
"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies","529","10.16","56.89","29.32"
